material_id,formula,rare_earth,space_group,crystal_system,e_above_hull,formation_energy,density,volume,nsites,band_gap,thermo_type,rxn_energy_CaO_eV_per_atom,rxn_CaO,rxn_energy_CaAl2Si2O8_eV_per_atom,rxn_CaAl2Si2O8
mp-16809,Ho2Si2O7,Ho,P-1,Triclinic,0.012073345000008,-3.663021494090907,6.441060537997115,513.5763065601901,44,4.9477,GGA_GGA+U,-0.10191782203955446,0.2 Ho2Si2O7 + 0.8 CaO -> 0.4 Ca2SiO4 + 0.2 Ho2O3,0.0,Ho2Si2O7 -> Ho2Si2O7
mp-866030,EuSiO3,Eu,Pm-3m,Cubic,0.255981939666675,-3.071255264,7.369525124378975,51.38487331369103,5,0.0,GGA_GGA+U,-0.09362790232154983,0.5 EuSiO3 + 0.5 CaO -> 0.25 Ca2SiO4 + 0.25 Eu2SiO4,-1.7844622477959954e-15,EuSiO3 -> 0.5 SiO2 + 0.5 Eu2SiO4
mp-1208437,Tb5Si3O13,Tb,P6_3/m,Hexagonal,0.077289843095231,-3.64523786968254,6.736503446318545,535.8266820867628,42,0.0,GGA_GGA+U,-0.06759758777344338,0.1538 Tb5Si3O13 + 0.8462 CaO -> 0.4231 Ca2SiO4 + 0.3846 Tb2O3 + 0.03846 Si,-1.784462247795997e-15,Tb5Si3O13 -> 0.25 Tb2Si2O7 + 2.25 Tb2SiO5 + 0.25 Si
mp-1187364,TbSiO3,Tb,Pm-3m,Cubic,0.7094974339999941,-2.815659758333333,7.530094610668917,51.82427694555707,5,0.0,GGA_GGA+U,-0.08299043203128065,0.4 TbSiO3 + 0.6 CaO -> 0.3 Ca2SiO4 + 0.2 Tb2O3 + 0.1 Si,-1.784462247795997e-15,TbSiO3 -> 0.25 Tb2Si2O7 + 0.25 Tb2SiO5 + 0.25 Si
mp-1225780,Dy2Si2O7,Dy,P1,Triclinic,0.007435804318179,-3.659418946363636,6.112233958841164,803.8855285297725,66,4.5344,GGA_GGA+U,-0.10165545355271588,0.2 Dy2Si2O7 + 0.8 CaO -> 0.4 Ca2SiO4 + 0.2 Dy2O3,-1.784462247795997e-15,Dy2Si2O7 -> Dy2SiO5 + SiO2
mp-17062,Dy2Si2O7,Dy,P-1,Triclinic,0.006754200378784,-3.660100550303029,6.06732807588437,539.8901971396976,44,4.9489,GGA_GGA+U,-0.10165545355271588,0.2 Dy2Si2O7 + 0.8 CaO -> 0.4 Ca2SiO4 + 0.2 Dy2O3,-1.784462247795997e-15,Dy2Si2O7 -> Dy2SiO5 + SiO2
mp-1186993,ScSiO3,Sc,Pm-3m,Cubic,0.707826589968743,-2.7644089860000003,4.371425835382467,45.978363101869,5,0.0,GGA_GGA+U,-0.11186380705067034,0.4 ScSiO3 + 0.6 CaO -> 0.3 Ca2SiO4 + 0.2 Sc2O3 + 0.1 Si,-1.784462247795997e-15,ScSiO3 -> 0.375 Sc2Si2O7 + 0.125 Sc2O3 + 0.25 Si
mp-18639,La2Si2O7,La,P-1,Triclinic,0.009666814772733,-3.664285678863635,4.928312833009692,601.0685483630061,44,4.5629,GGA_GGA+U,-0.06859949437497503,0.4 La2Si2O7 + 0.6 CaO -> 0.2 Ca2SiO4 + 0.2 CaLa4Si3O13,-1.784462247795997e-15,La2Si2O7 -> La2Si2O7
mp-756325,La2(SiO3)3,La,P-1,Triclinic,0.100489040476189,-3.48750892107143,5.12436200804834,327.9767456801286,28,4.419900000000001,GGA_GGA+U,-0.10815159779757844,0.2222 La2(SiO3)3 + 0.7778 CaO -> 0.3333 Ca2SiO4 + 0.1111 CaLa4Si3O13,-1.784462247795997e-15,La2(SiO3)3 -> La2Si2O7 + SiO2
mp-555800,La2Si2O7,La,P2_1/c,Monoclinic,0.024688101439398,-3.649264392196971,4.971050956238214,1787.7027613437874,132,4.380800000000001,GGA_GGA+U,-0.06859949437497503,0.4 La2Si2O7 + 0.6 CaO -> 0.2 Ca2SiO4 + 0.2 CaLa4Si3O13,-1.784462247795997e-15,La2Si2O7 -> La2Si2O7
mp-5732,La2Si2O7,La,P2_1/c,Monoclinic,0.0,-3.673952493636363,4.697627190081504,630.5851274597452,44,4.7992,GGA_GGA+U,-0.06859949437497503,0.4 La2Si2O7 + 0.6 CaO -> 0.2 Ca2SiO4 + 0.2 CaLa4Si3O13,-1.784462247795997e-15,La2Si2O7 -> La2Si2O7
mp-5974,La2Si2O7,La,P4_1,Tetragonal,0.008581531818187,-3.665370961818182,5.105726391091916,1160.3652892893851,88,4.673799999999999,GGA_GGA+U,-0.06859949437497503,0.4 La2Si2O7 + 0.6 CaO -> 0.2 Ca2SiO4 + 0.2 CaLa4Si3O13,-1.784462247795997e-15,La2Si2O7 -> La2Si2O7
mp-706477,La2Si2O7,La,P2_1/c,Monoclinic,0.8701899311363701,-2.8037625624999993,3.350547333723073,884.1104289442472,44,1.9857,GGA_GGA+U,-0.06859949437497503,0.4 La2Si2O7 + 0.6 CaO -> 0.2 Ca2SiO4 + 0.2 CaLa4Si3O13,-1.784462247795997e-15,La2Si2O7 -> La2Si2O7
