material_id,formula,rare_earth,space_group,crystal_system,e_above_hull,formation_energy,density,volume,nsites,band_gap
mp-1202190,Lu2Si2O7,Lu,P4_32_12,Tetragonal,0.019960798409083002,-3.704217053257575,6.58370697459744,522.700431326118,44,5.1931
mp-18385,Lu2Si2O7,Lu,P4_12_12,Tetragonal,0.019656807727265,-3.704521043939393,6.890390114496473,499.43565141642677,44,5.199199999999999
mp-7193,Lu2Si2O7,Lu,C2/m,Monoclinic,0.0,-3.72417785166666,6.355493422392386,135.36739976875975,11,4.8449
mp-16969,Lu2SiO5,Lu,C2/c,Monoclinic,0.0,-3.863396421979168,7.59249718559523,400.68729579003394,32,4.6846
mp-18195,Lu2SiO5,Lu,P2_1/c,Monoclinic,0.023591110624999002,-3.839805311354167,8.025175841140653,379.0841753265798,32,4.567500000000001
mp-973655,LuSiO3,Lu,Pm-3m,Cubic,0.87801737687499,-2.715639010333333,8.362076567951654,49.85358501080958,5,0.0
mp-17404,Y2Si2O7,Y,Pnma,Orthorhombic,0.023324581212129002,-3.647698447499999,3.9621375491011923,580.000879155743,44,5.381399999999999
mp-556860,Y2Si2O7,Y,P-1,Triclinic,0.036002630984857,-3.635020397727272,4.22647846181067,543.7252981599638,44,4.9349
mp-561531,Y2Si2O7,Y,P2_1/m,Monoclinic,0.046977508257585,-3.624045520454544,3.875804876133672,296.46013347646846,22,4.5957
mp-561551,Y2Si2O7,Y,P2_1/m,Monoclinic,0.022948241893947,-3.648074786818182,3.935411544654483,291.9698785932734,22,5.176900000000001
mp-5652,Y2Si2O7,Y,C2/m,Monoclinic,0.012987350075766001,-3.658035678636363,4.008890788263514,143.30917098954507,11,4.8042
mp-581644,Y2Si2O7,Y,P-1,Triclinic,0.0,-3.671023028712122,4.262086953852866,1617.547896157262,132,4.7121
mp-7999,Y2Si2O7,Y,P2_1/c,Monoclinic,0.015429810530312001,-3.655593218181817,4.053480529304039,283.46543732001516,22,4.931
mp-1179266,Y2SiO5,Y,P2_1/c,Monoclinic,0.11224328687501701,-3.6689280596875,4.505752795596275,421.45098459759464,32,3.940899999999999
mp-3520,Y2SiO5,Y,C2/c,Monoclinic,0.0,-3.781171346562509,4.424248673522434,429.2150130307963,32,4.7661
mp-554420,Y2SiO5,Y,P2_1/c,Monoclinic,0.025013623125017002,-3.7561577234375,4.775766605731431,397.62285488961436,32,4.7357
mp-727913,Y3Si3O11,Y,P2_1/c,Monoclinic,0.071555851985289,-3.49149591117647,3.982362921740687,878.925456818083,68,0.184899999999999
mp-1208172,Y5(SiO4)3,Y,Pnma,Orthorhombic,0.20181486632813503,-3.44835634075,4.595885826437926,1041.6977147319192,80,0.0
mp-1187862,YSiO3,Y,Pm-3m,Cubic,0.736387453416664,-2.795143751,5.306999070894734,51.624579106919604,5,0.0
mp-5594,Sc2Si2O7,Sc,C2/m,Monoclinic,0.0,-3.607447267727273,3.373334353584162,127.0403679229244,11,4.2788
mp-7640,Sc2Si2O7,Sc,Fd-3m,Cubic,0.08505900545455501,-3.522388262272726,4.163948123872764,205.838125095464,22,3.7458
mp-1209079,Sc2SiO5,Sc,C2/c,Monoclinic,0.017264488359376003,-3.7030844584375,3.495989938892105,376.1764944566733,32,4.471299999999999
mp-1186993,ScSiO3,Sc,Pm-3m,Cubic,0.707826589968743,-2.7644089860000003,4.371425835382467,45.978363101869,5,0.0
